Experiment subset: sand-gravel-mud (SGM) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.

						
Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. "SD" denotes the						
standard deviation from the mean.						

t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
2.84	0.000138202	0.000526028	-0.002135274	0.003514839	0.002092869	0.011451484
2.85	-5.09E-05	0.000228106	-0.003040191	0.004573294	-0.000546711	0.019312736
2.86	-3.57E-05	0.000248599	-0.003889581	0.005842424	-0.005167445	0.014902172
2.87	-5.21E-05	0.00029983	-0.001736958	0.003094749	0.00708828	0.021150029
2.88	-9.26E-05	0.000226571	-0.003302029	0.008374226	-0.001318409	0.008621001
2.89	0.000170607	0.000684314	-4.83E-05	0.006270501	0.000331472	0.00845222
2.9	-4.90E-05	0.000217273	-0.000696278	0.005922941	0.008707729	0.008331465
2.91	6.76E-07	0.000209184	0.000833215	0.005660411	0.005818176	0.01620411
2.92	0.000143598	0.000239281	-0.000631615	0.005433811	0.006230695	0.009663755
2.93	-6.93E-05	0.000201683	0.001956997	0.006213117	0.001915558	0.011952793
2.94	-0.000119624	0.000138343	0.002080531	0.004896619	0.008430015	0.013650399
2.95	-0.000101329	0.000159462	-0.000183998	0.006806893	0.006047004	0.01963177
2.96	5.59E-05	0.000254447	0.001280623	0.008292521	-0.00021988	0.01343428
2.97	6.50E-05	0.000353355	-0.001061742	0.00541166	-0.003081591	0.010163119
2.98	8.14E-06	0.000195109	0.001617792	0.005012457	0.001885503	0.017468476
2.99	-0.000126649	0.000347334	-0.005753426	0.006491197	0.001187018	0.023850086
3	4.41E-07	0.000330989	-0.001779509	0.004149687	-0.006050088	0.01190547
3.01	-9.23E-05	0.000305156	-0.002885462	0.007404956	0.003791924	0.012902259
3.02	-7.82E-05	0.00036257	-0.002350556	0.007411508	0.014669209	0.02700611
3.03	2.31E-05	0.000175429	-0.003265717	0.005685014	0.000531602	0.011871626
