Experiment subset: sand-gravel (SG) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.				


Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. ""SD"" denotes the 						
standard deviation from the mean. 						
						
t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
2.41	-0.00013376	0.000304273	-0.004865843	0.009526332	-0.003276681	0.017535749
2.42	-0.000129022	0.000244371	5.29869E-05	0.007728632	-0.012203906	0.042102458
2.43	-0.00016584	0.000312674	4.74842E-05	0.008203439	-0.006453811	0.012316426
2.44	6.63538E-06	0.000252784	0.001827671	0.005194075	-0.000719231	0.013323583
2.45	-2.6092E-05	0.000292781	0.002412013	0.005665531	-0.002358372	0.010388836
2.46	-3.59511E-05	0.000290404	0.006206772	0.012332698	-0.002747382	0.022519826
2.47	5.8968E-05	0.000118547	-0.000728182	0.005435435	0.002423208	0.014019351
2.48	8.15973E-05	0.00035064	-0.000196613	0.005874823	0.007221578	0.038870584
2.49	9.62243E-05	0.000238852	-0.005733734	0.028102694	-0.00428921	0.011812502
2.5	0.000216179	0.000539639	-0.002847539	0.006502131	-0.011856682	0.02064732
2.51	0.000181049	0.000455618	0.003046682	0.006114982	-0.01281711	0.023168665
2.52	-3.94133E-05	0.000202258	0.001639505	0.003387524	0.003834178	0.030514576
2.53	-9.78196E-06	0.000303322	0.000146625	0.004395455	-0.004839408	0.020329533
2.54	4.83737E-05	0.000370627	-0.002258258	0.004637189	-0.001230833	0.040276069
2.55	6.94208E-05	0.000277487	-0.002211137	0.004202331	-0.016647853	0.027555774
2.56	0.00014189	0.000177272	-0.001496183	0.00656467	-0.011816498	0.023162313
2.57	4.5507E-05	0.00018513	-0.003185009	0.005552641	-0.002566194	0.010590359
2.58	0.000105015	0.000219296	-0.00256528	0.006517565	-0.00165492	0.017286052
2.59	-1.24439E-05	0.000266258	-0.000653523	0.004259187	-0.010252492	0.024424366
2.6	-8.137E-06	0.00025047	-0.001465939	0.005874905	-2.65174E-06	0.015433974
2.61	0.000351751	0.000748827	-0.000433314	0.006497745	0.002099761	0.012599306
2.62	2.52227E-05	0.000380621	0.001567664	0.007192492	0.010231043	0.014535313
2.63	2.6756E-05	0.000254069	0.002489233	0.003852105	-0.003743337	0.012512946
2.64	6.06452E-06	0.000227679	-0.000295877	0.007982622	-0.009744736	0.022601258
2.65	5.36385E-05	0.000182617	-0.001035057	0.006286385	-0.008934407	0.019177932
2.66	4.93416E-05	0.000187853	0.000573018	0.009033072	-0.005038267	0.022485359
2.67	-3.55635E-06	0.000180977	-0.000469675	0.007703283	-0.004560039	0.022782376
2.68	-7.63725E-05	0.000181348	0.002151182	0.004037872	-0.012689249	0.034183966
2.69	-0.000150917	0.00028874	0.001474747	0.004131555	-0.011283302	0.034019623
2.7	-8.07966E-05	0.000194057	-0.001122858	0.005549897	-0.003311928	0.016048363
2.71	0.000168067	0.000361875	-0.000939298	0.008268624	0.001876844	0.013755767
2.72	6.13871E-05	0.000123488	-0.000630288	0.006911099	0.002376183	0.012221981
2.73	8.61226E-05	0.000304685	-0.004986883	0.013593185	0.004356979	0.019742392
2.74	2.90163E-05	0.000288424	0.000407343	0.009111696	-0.003896716	0.013894058
